ids,time,lon,lat,depth
453814,2004-05-29T19:21:00Z,-70.387200000000007,43.082099999999997,-1.0
453814,2004-05-29T20:27:00Z,-70.391300000000001,43.072899999999997,-1.0
453814,2004-05-29T21:26:00Z,-70.392499999999998,43.062100000000001,-1.0
453814,2004-05-29T22:15:00Z,-70.391999999999996,43.052100000000003,-1.0
453814,2004-05-29T23:21:00Z,-70.392200000000003,43.039400000000001,-1.0
453814,2004-05-30T01:19:00Z,-70.392399999999995,43.021500000000003,-1.0
453814,2004-05-30T03:34:00Z,-70.393699999999995,43.006500000000003,-1.0
453814,2004-05-30T04:25:00Z,-70.399000000000001,43.0045,-1.0
453814,2004-05-30T05:29:00Z,-70.403700000000001,43.008299999999998,-1.0
453814,2004-05-30T07:33:00Z,-70.390100000000004,43.021099999999997,-1.0
453814,2004-05-30T09:45:00Z,-70.350499999999997,43.017699999999998,-1.0
453814,2004-05-30T10:44:00Z,-70.328199999999995,43.006900000000002,-1.0
453814,2004-05-30T11:44:00Z,-70.313900000000004,42.992100000000001,-1.0
453814,2004-05-30T12:50:00Z,-70.306600000000003,42.973500000000001,-1.0
453814,2004-05-30T13:44:00Z,-70.308599999999998,42.955399999999997,-1.0
453814,2004-05-30T14:54:00Z,-70.3202,42.939,-1.0
453814,2004-05-30T15:58:00Z,-70.330600000000004,42.930100000000003,-1.0
453814,2004-05-30T18:54:00Z,-70.3553,42.921100000000003,-1.0
453814,2004-05-30T19:59:00Z,-70.358500000000006,42.9238,-1.0
453814,2004-05-30T20:58:00Z,-70.359899999999996,42.927100000000003,-1.0
453814,2004-05-30T21:57:00Z,-70.357299999999995,42.930199999999999,-1.0
453814,2004-05-30T23:10:00Z,-70.353200000000001,42.930999999999997,-1.0
453814,2004-05-31T00:15:00Z,-70.348699999999994,42.932400000000001,-1.0
453814,2004-05-31T02:24:00Z,-70.3416,42.928600000000003,-1.0
453814,2004-05-31T03:14:00Z,-70.335999999999999,42.9255,-1.0
453814,2004-05-31T04:07:00Z,-70.328299999999999,42.921100000000003,-1.0
453814,2004-05-31T04:58:00Z,-70.320400000000006,42.916499999999999,-1.0
453814,2004-05-31T06:08:00Z,-70.312200000000004,42.908900000000003,-1.0
453814,2004-05-31T07:03:00Z,-70.308700000000002,42.901699999999998,-1.0
453814,2004-05-31T08:11:00Z,-70.3078,42.893300000000004,-1.0
453814,2004-05-31T09:14:00Z,-70.310299999999998,42.886899999999997,-1.0
453814,2004-05-31T10:15:00Z,-70.316800000000001,42.881399999999999,-1.0
453814,2004-05-31T11:17:00Z,-70.327600000000004,42.877499999999998,-1.0
453814,2004-05-31T12:11:00Z,-70.341999999999999,42.874200000000002,-1.0
453814,2004-05-31T13:09:00Z,-70.357399999999998,42.872900000000001,-1.0
453814,2004-05-31T14:04:00Z,-70.368300000000005,42.873699999999999,-1.0
453814,2004-05-31T14:59:00Z,-70.375699999999995,42.876399999999997,-1.0
453814,2004-05-31T16:01:00Z,-70.381399999999999,42.880699999999997,-1.0
453814,2004-05-31T16:53:00Z,-70.383099999999999,42.886099999999999,-1.0
453814,2004-05-31T17:58:00Z,-70.379000000000005,42.894399999999997,-1.0
453814,2004-05-31T20:10:00Z,-70.364699999999999,42.908799999999999,-1.0
453814,2004-05-31T21:11:00Z,-70.358500000000006,42.911900000000003,-1.0
453814,2004-05-31T22:01:00Z,-70.355000000000004,42.912700000000001,-1.0
453814,2004-05-31T22:55:00Z,-70.352199999999996,42.911499999999997,-1.0
453814,2004-05-31T23:51:00Z,-70.351100000000002,42.908299999999997,-1.0
453814,2004-06-01T01:49:00Z,-70.362799999999993,42.905700000000003,-1.0
453814,2004-06-01T03:54:00Z,-70.379599999999996,42.910699999999999,-1.0
453814,2004-06-01T04:43:00Z,-70.383200000000002,42.913899999999998,-1.0
453814,2004-06-01T05:28:00Z,-70.384100000000004,42.917700000000004,-1.0
453814,2004-06-01T06:20:00Z,-70.381900000000002,42.922199999999997,-1.0
453814,2004-06-01T07:23:00Z,-70.376300000000001,42.926699999999997,-1.0
453814,2004-06-01T08:33:00Z,-70.370500000000007,42.930300000000003,-1.0
453814,2004-06-01T10:24:00Z,-70.363299999999995,42.931800000000003,-1.0
453814,2004-06-01T11:33:00Z,-70.359200000000001,42.930999999999997,-1.0
453814,2004-06-01T12:26:00Z,-70.356499999999997,42.929099999999998,-1.0
453814,2004-06-01T13:21:00Z,-70.359300000000005,42.926499999999997,-1.0
453814,2004-06-01T14:07:00Z,-70.366900000000001,42.9255,-1.0
453814,2004-06-01T15:21:00Z,-70.376099999999994,42.9283,-1.0
453814,2004-06-01T16:24:00Z,-70.380799999999994,42.932000000000002,-1.0
453814,2004-06-01T17:28:00Z,-70.382300000000001,42.935099999999998,-1.0
453814,2004-06-01T19:51:00Z,-70.381799999999998,42.941600000000001,-1.0
453814,2004-06-01T20:47:00Z,-70.379599999999996,42.946100000000001,-1.0
453814,2004-06-01T21:53:00Z,-70.375900000000001,42.9495,-1.0
453814,2004-06-01T22:52:00Z,-70.372,42.950899999999997,-1.0
453814,2004-06-01T23:37:00Z,-70.368200000000002,42.950800000000001,-1.0
453814,2004-06-02T00:35:00Z,-70.364999999999995,42.948700000000002,-1.0
453814,2004-06-02T01:27:00Z,-70.366799999999998,42.945,-1.0
453814,2004-06-02T02:29:00Z,-70.370599999999996,42.938899999999997,-1.0
453814,2004-06-02T03:23:00Z,-70.377799999999993,42.935699999999997,-1.0
453814,2004-06-02T04:18:00Z,-70.393600000000006,42.940300000000001,-1.0
