ids,lon,lat,30yr_separation(km/day),30yr_separation(km/km)
453814.0,-70.38987529275046,43.077070128805666,154.00,0.56
453814.0,-70.35853884679014,42.923852909605856,170.05,0.63
453814.0,-70.365821642694982,42.908037120097163,163.48,0.60
453814.0,-70.381532567859409,42.94229261986348,171.51,0.61
453814.0,-70.371956132977559,42.996992190460354,147.17,0.51
453814.0,-70.365228231398007,42.942360585586286,160.50,0.55
453814.0,-70.234694517956797,42.864679487319059,163.57,0.55
453814.0,-70.128331184734321,42.569265907008472,50.72,0.15
453816.0,-68.039069526862249,42.607975721095691,134.46,0.33
453816.0,-68.002333764530974,42.655856501061471,129.76,0.30
453816.0,-67.952333779525603,42.701441751141211,126.69,0.28
453816.0,-67.972269259735754,42.779358798529202,55.14,0.12
453816.0,-68.042158265305574,42.922685392360968,51.98,0.11
453816.0,-68.008356031081433,43.005876795055286,105.77,0.21
453816.0,-67.967772434853501,43.087785291848022,89.40,0.17
453816.0,-67.914784941834768,43.109528464689234,76.15,0.14
453816.0,-67.801350916959279,43.214158486464925,6.07,0.01
453816.0,-67.584971041390546,43.201668694303635,19.76,0.04
453816.0,-67.609243343321907,43.123890420766813,39.58,0.08
453816.0,-67.696959477805336,43.082124262817302,48.05,0.09
453816.0,-67.760347026542206,43.169175960904738,45.96,0.09
453816.0,-67.751913249066135,43.213494183736294,39.66,0.08
453816.0,-67.779442554125751,43.186035496043139,32.96,0.06
453816.0,-67.759737898325298,43.193988381790696,22.40,0.04
453817.0,-70.171665998567761,43.44230512743988,63.05,0.21
453817.0,-70.278303508288559,43.30668178159538,42.42,0.13
453817.0,-70.451517127669504,43.22889964274782,24.75,0.08
453817.0,-70.544025611846735,43.03672752965624,50.04,0.14
453817.0,-70.621754973929882,42.95887053247376,43.72,0.12
453818.0,-68.846082786935753,43.461095446769477,34.36,0.14
453818.0,-68.908810456540195,43.433870228488836,64.51,0.27
453818.0,-69.010872070630967,43.493020353706484,60.03,0.27
453818.0,-69.139094686652044,43.523025940814208,99.22,0.45
453818.0,-69.3035028052402,43.578222024555025,74.82,0.36
453818.0,-69.417138758998206,43.573823283408103,68.08,0.33
47472.0,-68.706402967852583,43.51326779910783,125.06,0.40
47472.0,-68.708805938902287,43.513640334958367,123.67,0.39
47472.0,-68.648423532622104,43.478191038899688,117.89,0.37
47472.0,-68.619743607795584,43.398589431554875,96.26,0.29
47472.0,-68.684167467948257,43.303536506804178,59.07,0.17
47472.0,-68.74113899376789,43.235099425309691,11.62,0.03
47472.0,-68.794751820933854,43.18722753651209,12.72,0.03
47472.0,-68.873709954164752,43.16330004056757,33.94,0.09
47472.0,-68.821889628896656,43.150069456377004,51.16,0.13
47472.0,-68.778627345115424,43.169610885888879,52.40,0.13
47472.0,-68.909038662557421,43.084619887611318,51.33,0.13
47472.0,-68.966757659842727,43.107462465927433,58.75,0.16
47472.0,-68.990751073897954,43.08268678621301,61.20,0.17
47472.0,-69.03680276358071,43.161297188113942,56.96,0.16
47472.0,-69.040137168792427,43.203145226988326,58.53,0.16
47472.0,-69.138123489599735,43.237172175496219,63.93,0.18
